goos: linux
goarch: amd64
pkg: github.com/StevenPG/demos/go-1-27-json-v2/bench
cpu: Intel(R) Xeon(R) Processor @ 2.10GHz
BenchmarkUnmarshal/Small/impl=v2-4       	 1387357	       863.2 ns/op	 133.23 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1383194	       866.5 ns/op	 132.72 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1417748	       860.2 ns/op	 133.70 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1452019	       829.3 ns/op	 138.67 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1355224	       881.1 ns/op	 130.52 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1390120	       856.7 ns/op	 134.23 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   82302	     15057 ns/op	  83.81 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   82932	     14389 ns/op	  87.71 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   82443	     14787 ns/op	  85.35 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   80396	     15227 ns/op	  82.88 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   81963	     14447 ns/op	  87.35 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   80756	     14248 ns/op	  88.57 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   86989	     14108 ns/op	  89.45 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   87670	     14340 ns/op	  88.01 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   84258	     14486 ns/op	  87.12 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v1-4      	   80248	     14604 ns/op	  86.41 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   96309	     13229 ns/op	  95.40 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   83449	     13517 ns/op	  93.36 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   89244	     13388 ns/op	  94.27 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   92104	     13397 ns/op	  94.20 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   92797	     13226 ns/op	  95.42 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   91581	     13147 ns/op	  95.99 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   79227	     13160 ns/op	  95.90 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   89226	     12346 ns/op	 102.22 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	  101774	     11480 ns/op	 109.93 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Nested/impl=v2-4      	   96118	     12019 ns/op	 105.00 MB/s	    1280 B/op	      64 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     618	   1972451 ns/op	 102.05 MB/s	  239926 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     638	   2041642 ns/op	  98.59 MB/s	  239943 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     565	   2042668 ns/op	  98.54 MB/s	  239954 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     549	   2170800 ns/op	  92.73 MB/s	  239942 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     556	   2220036 ns/op	  90.67 MB/s	  239944 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     566	   2082058 ns/op	  96.68 MB/s	  239942 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     530	   2142444 ns/op	  93.95 MB/s	  239944 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     562	   2134623 ns/op	  94.30 MB/s	  239944 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     606	   2042580 ns/op	  98.55 MB/s	  239941 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v1-4       	     559	   2060688 ns/op	  97.68 MB/s	  239933 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     680	   1871458 ns/op	 107.56 MB/s	  239944 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     613	   1744823 ns/op	 115.36 MB/s	  239945 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     774	   1735562 ns/op	 115.98 MB/s	  239943 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     643	   1741068 ns/op	 115.61 MB/s	  239952 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     751	   1836262 ns/op	 109.62 MB/s	  239934 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     709	   1718030 ns/op	 117.16 MB/s	  239943 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     723	   1728059 ns/op	 116.48 MB/s	  239940 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     668	   1875086 ns/op	 107.35 MB/s	  239942 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     564	   1926504 ns/op	 104.48 MB/s	  239949 B/op	      14 allocs/op
BenchmarkUnmarshal/Batch/impl=v2-4       	     730	   1550674 ns/op	 129.81 MB/s	  239941 B/op	      14 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	    9160	    118712 ns/op	 199.80 MB/s	   46576 B/op	       8 allocs/op
BenchmarkUnmarshal/Document/impl=v1-4    	    8455	    126656 ns/op	 187.26 MB/s	   46576 B/op	       8 allocs/op
